,movie,bechdel_pass
768,themanwhokilleddonquixote,0
769,mandy,1
770,marypoppinsreturns,1
771,maryqueenofscots,1
772,masterztheipmanlegacy,1
773,mazerunnerthedeathcure,1
774,mcqueen,0
775,themeg,1
776,meioirmao,1
777,mid90s,0
778,themiracleseason,1
779,mirage,1
780,themiseducationofcameronpost,1
781,missionimpossiblefallout,0
782,mortalengines,1
783,themule,0
784,myheroacademiatwoheroes,1
785,mylittleponyequestriagirlsforgottenfriendship,1
786,mylittleponyequestriagirlsrollercoasteroffriendship,1
787,nappilyeveraftet,1
788,nextgen,1
789,nightschool,1
790,thenutcrackerandthefourrealms,1
791,ocean's8,1
792,theoldman&thegun,0
793,onthebasisofsex,1
794,operationfinale,0
795,ophelia,1
796,overboard,1
797,pacificrimuprising,1
798,passover,0
799,patientzero,0
800,pleasestandby,1
801,possum,0
802,thepredator,0
803,theprincessswitch,1
804,thepublic,1
805,quientecantara,1
806,raazi,1
807,rafiki,1
808,ralphbreakstheinternet,1
809,rampage,1
810,rampant,0
811,readyplayerone,1
812,redjoan,1
813,redsparrow,1
814,robinhood,0
815,roma,1
816,saintsrest,1
817,saymyname,1
818,searching,0
819,secondact,0
820,senses1&2,1
821,setitup,1
822,sgt.stubbyanamericanhero,0
823,she-raandtheprincessesofpower,1
824,sheherazade,1
825,sherlockgnomes,1
826,shoplifters,1
827,sierraburgessisaloser,1
828,simmba,0
829,thesistersbrothers,0
830,skatekitchen,1
831,slenderman,1
832,smallfoot,1
833,snapshots,1
834,soloastarwarsstory,0
835,sorrytobotheryou,0
836,spider-manintothespider-verse,0
837,thespywhodumpedme,1
838,stan&ollie,1
839,thestrangerspreyatnight,1
840,supportthegirls,1
841,suspiria,1
842,swiped,0
843,tag,1
844,tau,1
845,ted-forkarlekensskull,0
846,teentitansgo!tothemovies,1
847,tellittothebees,1
848,theyshallnotgrowold,0
849,timeless,1
850,thetitan,0
851,titoeospassaros,0
852,toalltheboysi'velovedbefore,1
853,tombraider,1
854,toppenavingenting,0
855,thetranscendents,1
856,truthordare,1
857,tully,1
858,tylerperry'sacrimony,0
859,undertow,1
860,upgrade,0
861,venom,0
862,vice,0
863,voxlux,1
864,wehavealwayslivedinthecastle,1
865,welcometomarwen,0
866,whatkeepsyoualive,1
867,whenwefirstmet,0
